id;name;origin;grapes;price;description;story;image_url;category;temperature;alcohol;pairing;tasting_notes;flavor_notes;vintage;region;sweetness;body;tannin;acidity;fizzy;created_at;updated_at
7c5bc3f8-a7a1-40f5-924d-5094bf78e437;Bervini Brut;Friuli-Venezia Giulia, Italy;Glera;450,000₫;Bervini Brut là vang sủi (sparkling wine) được sản xuất từ giống nho Glera kết hợp cùng một số giống nho trắng địa phương, trồng tại vùng Friuli Venezia Giulia, miền Đông Bắc nước Ý. Rượu mang phong cách tươi mới, thanh lịch và dễ thưởng thức, đúng tinh thần của dòng Nature Line.;"Rượu được làm theo phương pháp Martinotti – Charmat, lên men lần hai trong bồn thép kín (autoclave), giúp giữ trọn độ tươi, hương trái cây tự nhiên và tạo nên bọt sủi mịn, nhẹ nhàng. Bervini Brut có màu sắc sáng trong, bọt mịn và đều, mang lại cảm giác tinh tế ngay từ ánh nhìn đầu tiên.

Trên mũi, rượu thể hiện hương trái cây tươi sạch, nhẹ nhàng và rõ ràng. Khi thưởng thức, vị rượu tươi mát, trái cây nổi bật, độ axit dễ chịu, mang đến cảm giác sảng khoái và cân bằng, không quá ngọt, không nặng.

Bervini là kết tinh của ba thế hệ gia đình Bergamo – Antonio, Giuseppe và Paolo – cùng chung niềm đam mê dành cho rượu vang chất lượng. Từ năm 1955, Bervini đã gắn bó với nghề trồng nho và sản xuất những chai vang thanh lịch, hài hòa và giàu cảm xúc. Đến thập niên 1990, các vườn nho của Bervini được canh tác theo phương pháp hữu cơ.";/wines/bervini-brut-fixed.jpg;sparkling;5-8°C;11%;Khai vị, hải sản, salad và các món nhẹ;Cam quýt, mật ong, táo, đào, bọt mịn, tươi mát;"[""Cam quýt"",""Mật ong"",""Cam"",""Đào"",""Táo""]";;Đông Bắc nước Ý;0.5;4.0;0.0;5.0;6.0;2025-12-24 07:53:42.2365+00;2025-12-31 16:15:53.454912+00
840d0bc1-6760-469e-b0b8-2659dae9cc91;770 Miles Zinfandel;California, USA;Zinfandel;570,000₫;770 Miles Zinfandel là chai vang đỏ California mang phong cách trẻ trung và dễ tiếp cận. Tên gọi 770 Miles gợi nhắc đến chiều dài bờ biển California, nơi những vườn nho Zinfandel trải dài từ Bắc tới Nam.;"770 Miles Zinfandel California là chai vang đỏ tiêu biểu đến từ tiểu bang California – vùng sản xuất rượu vang quan trọng và đa dạng bậc nhất của Hoa Kỳ. Với điều kiện khí hậu phong phú trải dài từ các thung lũng ven biển mát mẻ như Sonoma, Napa, Carneros cho đến những khu vực ấm áp của Thung lũng Trung tâm và dải ven Thái Bình Dương, California mang đến môi trường lý tưởng để giống nho Zinfandel phát triển trọn vẹn hương vị. 770 Miles là thành quả của đội ngũ chuyên gia thương mại giàu kinh nghiệm, những người đã cẩn trọng lựa chọn, lên men và phối trộn các trái nho Zinfandel chất lượng cao được tuyển chọn từ nhiều vườn nho tại Thung lũng Trung tâm California nhằm tạo nên phong cách rượu ổn định, hài hòa và dễ thưởng thức.

Rượu được sản xuất theo phương pháp truyền thống, chú trọng tôn vinh đặc tính tự nhiên của nho. Sau quá trình lên men malolactic, rượu được làm trong nhanh chóng và bảo quản ở nhiệt độ thấp trong môi trường khí trơ, giúp giữ trọn sự tươi mới và cấu trúc mượt mà. Thành phẩm có màu đỏ ruby quyến rũ với ánh đỏ thẫm sâu lắng. Hương thơm mở ra đầy cuốn hút với các nốt trái cây đen chín mọng như mâm xôi đen, anh đào đen và mận, hòa quyện cùng sắc thái cay nồng đặc trưng của Zinfandel như tiêu đen, quế và thoang thoảng đinh hương, điểm xuyết thêm chút ca cao và cà phê tinh tế từ quá trình ủ gỗ sồi.

Trên vòm miệng, 770 Miles Zinfandel thể hiện phong cách mạnh mẽ, tròn đầy và đậm đà, với hương trái cây mọng nước làm chủ đạo. Tannin hiện diện rõ nhưng êm dịu, cân bằng tốt cùng độ cồn vừa phải, mang lại cảm giác ấm áp và dễ chịu. Hậu vị kéo dài, dai dẳng với dư vị trái cây chín và gia vị hấp dẫn, khiến người thưởng thức muốn nhấp thêm ngụm nữa. Chai vang này đặc biệt phù hợp khi dùng cùng mì ống, pizza, gà nướng, các món ăn hàng ngày hoặc thưởng thức riêng như một ly vang khai vị đầy cá tính.";/wines/770-miles-zinfandel-fixed.jpg;red;16-18°C;13.5%;Chai vang này đặc biệt phù hợp khi dùng cùng mì ống, pizza, gà nướng, các món ăn hàng ngày hoặc thưởng thức riêng như một ly vang khai vị đầy cá tính.;Dâu đen, mâm xôi, anh đào, gia vị nhẹ, tannin mềm mại, dễ uống;"[""Dâu đen"",""Mâm xôi"",""Anh đào"",""Gia vị"",""Sô-cô-la"",""Dâu tây"",""Da thuộc"",""Vani"",""Hoa tím""]";2021;California, Mỹ;5.5;8.0;4.0;3.0;;2025-12-24 07:53:42.2365+00;2025-12-31 16:17:46.476303+00
312e4ac3-2de9-495c-a7bb-8d9cb2be8461;Roberto Riga Rosso;Veneto, Italy;Corvina•Corvinone•Sangiovese;450,000₫;Rượu vang Roberto Riga Rosso là sản phẩm tiêu biểu đến từ vùng Veneto, một trong những vùng sản xuất rượu vang nổi tiếng nhất của miền Bắc nước Ý. Veneto từ lâu đã được biết đến với những chai vang đỏ phong phú và giàu cá tính.;"Veneto có điều kiện tự nhiên lý tưởng cho việc sản xuất rượu vang: khí hậu ôn hòa, đất đai màu mỡ và truyền thống làm rượu lâu đời. Roberto Riga Rosso được phối trộn từ ba giống nho đặc trưng: Corvina mang đến hương trái cây anh đào và độ tươi mát, Corvinone góp phần tạo độ đậm đà và cấu trúc, còn Sangiovese bổ sung độ axit thanh lịch và hương thảo mộc tinh tế.

Rượu có màu đỏ ruby đậm, hương thơm nổi bật của trái cây chín đỏ, anh đào, xen lẫn hương hoa - gia vị khô và thảo mộc. Trên vòm miệng, rượu thể hiện cấu trúc tròn vị, đậm đà vừa phải, tannin chắc nhưng dễ chịu, hậu vị gọn gàng và hài hòa.

Nhờ sự kết hợp hoàn hảo giữa Corvina, Corvinone và Sangiovese, Roberto Riga Rosso mang phong cách vang Ý truyền thống, mạnh mẽ nhưng dễ tiếp cận, phù hợp dùng hằng ngày hoặc trong các bữa tiệc thân mật.";/wines/roberto-riga-fixed.jpg;red;16-18°C;13%;Pizza, pasta, thịt trắng;Bưởi, mâm xôi, anh đào, hoa, thảo mộc, thuốc lá;"[""Bưởi"",""Mâm xôi"",""Anh đào"",""Hoa"",""Thảo mộc"",""Thuốc lá""]";2022;Veneto, Miền Bắc nước Ý;2.0;5.0;5.5;6.0;;2025-12-24 07:53:42.2365+00;2025-12-24 08:45:00.260596+00
2cf1847f-0079-437e-a9e2-6ec96b3c9199;Château Haut Bazignan 2020;Bordeaux, France;Cabernet Sauvignon•Merlot;450,000₫;Château Haut Bazignan là chai vang đỏ đến từ vùng Bordeaux danh tiếng nước Pháp, một trong những vùng sản xuất rượu vang lớn và lâu đời nhất thế giới. Đây là chai vang tiêu biểu cho phong cách Bordeaux truyền thống: đậm đà, cân bằng, dễ uống trong tầm giá và phù hợp với nhiều đối tượng yêu vang.;"Château Haut Bazignan có màu đỏ ruby đậm với ánh tím nhẹ, biểu thị độ chín ổn của nho. Trên mũi và vị, rượu nổi bật bởi hương trái cây đỏ chín mọng như anh đào Đen, Mâm Sôi đen, hòa quyện cùng tầng hương phụ của xạ hương.

Tuy không phải là chai vang cao cấp nhưng là một lựa chọn Bordeaux rất đáng giá trong tầm giá phổ thông. Rượu thể hiện phong cách Bordeaux cổ điển dễ tiếp cận, phù hợp với cả người mới uống và những ai muốn một chai vang đỏ tròn vị, ấm và đầy nhưng không nặng nề hay quá phức tạp.";/wines/chateau-haut-bazignan-fixed.jpg;red;16-18°C;14.5%;Thịt đỏ, pasta, phô mai;Bưởi, mâm xôi, anh đào, dâu đen, xạ hương;"[""Bưởi"",""Mâm xôi"",""Anh đào"",""Dâu đen"",""Xạ hương""]";2020;Bordeaux, Pháp;1.5;6.5;6.0;5.5;;2025-12-24 07:53:42.2365+00;2025-12-24 08:43:18.725356+00
2bf699f5-5648-43b5-aaf1-93cf76bcbd91;Armador Sauvignon Blanc;Casablanca Valley, Chile;Sauvignon Blanc;625,000₫;"Đây là hiện thân của phong cách vang trắng Chile cao cấp: tinh khiết, sống động và đầy chiều sâu. ""Armador"" – tên gọi dành cho chủ sở hữu con tàu – không chỉ đánh dấu dòng rượu đầu tiên của Odfjell ra mắt từ năm 1999, mà còn tượng trưng cho tinh thần tiên phong.";"Odfjell Armador Sauvignon Blanc là hiện thân của phong cách vang trắng Chile cao cấp: tinh khiết, sống động và đầy chiều sâu. “Armador” – tên gọi dành cho chủ sở hữu con tàu – không chỉ đánh dấu dòng rượu đầu tiên của Odfjell ra mắt từ năm 1999, mà còn tượng trưng cho tinh thần tiên phong, hành trình khám phá và khát vọng thể hiện trọn vẹn bản sắc của terroir ven biển Chile.

Được làm từ 100% nho Sauvignon Blanc trồng theo phương pháp sinh học động tại thung lũng San Antonio mát lạnh, chỉ cách Thái Bình Dương khoảng 15 km, chai vang này hưởng trọn ảnh hưởng của gió biển, sương mù và nền đất giàu khoáng chất. Điều kiện tự nhiên lý tưởng giúp nho giữ được độ axit sắc nét và hương thơm thuần khiết. Nho được thu hoạch thủ công, lên men ở nhiệt độ thấp trong thùng thép không gỉ và ủ ngắn trên bã mịn, nhằm bảo toàn tối đa sự tươi mới và tinh tế.

Rượu có màu vàng rơm nhạt thanh thoát, mở ra hương thơm thanh khiết của bưởi, chanh, lý gai và hoa trắng, hòa quyện cùng nét khoáng mát lạnh đặc trưng vùng biển. Trên vòm miệng, Armador Sauvignon Blanc thể hiện cấu trúc cân bằng, tròn đầy, độ axit sống động và dư vị kéo dài, để lại cảm giác sảng khoái và tinh tế. Đây là lựa chọn lý tưởng cho những khoảnh khắc thưởng thức sang trọng, đặc biệt khi kết hợp cùng hải sản, cá tươi hoặc các món ăn nhẹ mang phong cách ẩm thực hiện đại.";/wines/armador-sauvignon-blanc-fixed.jpg;white;12°C;8.5%;Salad rau xanh, hải sản, cá tươi và các món nhẹ;Cam, chanh, lý gai, hoa nhài trắng, khoáng chất, độ acid sống động, dư vị kéo dài;"[""Quýt"",""Cam quýt"",""Đào"",""Táo"",""Lê"",""Dứa"",""Hoa nhài"",""Ớt chuông"",""Hoa"",""Cam"",""Khoáng chất""]";2021;San Antonio Valley, Chile;1.5;5.0;0.0;7.5;;2025-12-24 07:52:51.761483+00;2025-12-31 16:16:43.603399+00
ab1ebb7c-d77f-48b2-9cc3-d98cfbcc953b;Terres Rares 2022;Côtes du Tarn, France;Gamay•Braucol;780,000₫;Rượu vang Pháp Terres Rares Braucol Gamay là chai vang đỏ ngon của nhà sản xuất Vignobles Gayrel, được nhập khẩu trực tiếp nguyên chai từ tiểu vùng Cotes du Tarn, Tây Nam nước Pháp.;"Vùng đất đa dạng của miền Nam Tarn, với đặc tính thổ nhưỡng đất sét-đá vôi, mang đến chiều sâu và khoáng chất tuyệt vời, làm tăng thêm phẩm chất của nho. Những loại rượu vang đỏ quý hiếm này thường được sản xuất với số lượng hạn chế, khiến chúng đặc biệt được những người yêu rượu vang tìm kiếm sự chân thực và khám phá đánh giá cao. Mỗi loại đều mang phong cách và đặc trưng riêng, cũng như các nguyên tố đất hiếm đã được các thế hệ nhà sản xuất rượu vang kế tiếp nhau trong khu vực khám phá qua nhiều thế kỷ.

Braucol, còn được gọi là Fer Servadou, là một giống nho biểu tượng của Tây Nam nước Pháp, đặc biệt là ở vùng Tarn. Giống nho này thường được sử dụng trong các loại rượu vang pha trộn, nhưng một số nhà sản xuất rượu vang lại nhấn mạnh đặc tính độc đáo của nó trong các loại rượu vang đơn giống. Về phần Gamay mang đến sự tươi mát dễ chịu và hương thơm trái cây. Hai giống nho này kết hợp với nhau để tạo ra những loại rượu vang đỏ thanh lịch đan xen sự phức tạp trong kết cấu.";/wines/terres-rares-fixed.jpg;red;14-16°C;13%;Thịt trắng, salad, món nhẹ;Dâu tây, anh đào, chuối, mâm xôi;"[""Dâu tây"",""Anh đào"",""Chuối"",""Mâm xôi""]";2022;Tây Nam nước Pháp;3.0;6.0;4.0;6.0;;2025-12-24 07:52:51.761483+00;2025-12-31 16:19:04.70419+00
a3e8ce34-37f5-4c01-a989-d2cdbe65d2cc;Odfjell Aliara;Chile;28.5% Syrah•24.5% Carignan•16% Malbec•10% Carménère•8.5% Cabernet Sauvignon•7% Tempranillo•5.5% Tannat;3,850,000₫;Odfjell Aliara là chai vang đỏ biểu tượng của Odfjell Vineyards, đại diện cho đỉnh cao sáng tạo và triết lý làm vang hữu cơ cao cấp của Chile. Niên vụ 2018 khẳng định vị thế xuất sắc với 93 điểm James Suckling, 94 điểm Vinous, 95 điểm Descorchados.;"Odfjell Aliara là chai vang đỏ biểu tượng của nhà Odfjell Vineyards, đại diện cho đỉnh cao sáng tạo và triết lý làm vang bền vững của Chile. Niên vụ 2018 của Aliara đã khẳng định vị thế quốc tế với hàng loạt giải thưởng danh giá, đạt 93 điểm James Suckling, 94 điểm Vinous, 95 điểm Descorchados và Huy chương Bạc tại Global Organic & Vegan Wine Masters 2023, đưa Aliara vào hàng ngũ những dòng vang cao cấp được giới phê bình đánh giá rất cao.

Aliara là sự pha trộn tinh tế của nhiều giống nho danh tiếng, trong đó Carignan giữ vai trò trung tâm, kết hợp cùng Syrah, Malbec, Carménère, Cabernet Sauvignon, Tempranillo và Tannat. Nho được thu hoạch hoàn toàn thủ công từ những vườn nho hữu cơ có tuổi đời từ 20 đến 80 năm tại Cauquenes, Lontué và Maipo Valley – những vùng đất mát mẻ, giàu khoáng chất, chịu ảnh hưởng hài hòa giữa ánh nắng và gió biển. Chính điều kiện tự nhiên này đã tạo nên chiều sâu, cấu trúc và cá tính mạnh mẽ cho rượu.

Tên gọi Aliara được lấy cảm hứng từ “Liara” – chiếc cốc thiếc cổ dùng trên tàu buồm để đo khẩu phần rượu hàng ngày, như một sự tôn vinh truyền thống hàng hải và tinh thần khám phá. Nhãn chai mang hình ảnh tinh vân lửa giữa không gian vũ trụ, biểu trưng cho năng lượng nguyên thủy, sức mạnh sáng tạo và sự sống – cũng chính là linh hồn của chai vang này. Odfjell Aliara còn ghi dấu ấn đặc biệt khi góp phần nâng tầm giống nho Carignan, từ một giống nho từng bị xem nhẹ trở thành nền tảng của những chai vang đỏ cấu trúc, đậm đà và giàu tiềm năng lão hóa.

Rượu được ngâm lạnh trước khi lên men, lên men trong các bể nhỏ với men chọn lọc, trải qua quá trình malolactic tự nhiên và được ủ 18 tháng trong thùng gỗ sồi Pháp mới 100%, mang lại độ phức hợp và chiều sâu vượt trội. Trong ly, Aliara hiện lên với màu đỏ tím đậm sâu, hương thơm mãnh liệt của trái cây tối, ô liu, cà phê, thảo mộc xanh, hòa quyện cùng sô cô la, thuốc lá và gia vị. Trên vòm miệng, rượu thể hiện cấu trúc mạnh mẽ nhưng hài hòa, tannin chín mượt, độ axit cân đối và hậu vị dài, sâu, để lại ấn tượng sang trọng và khó quên.

Odfjell Aliara là lựa chọn lý tưởng cho những bữa tiệc trang trọng và những khoảnh khắc thưởng thức đỉnh cao, đặc biệt khi kết hợp cùng thịt cừu hầm, bò đỏ lửa hoặc phô mai lâu năm. Rượu ngon nhất khi được phục vụ ở nhiệt độ 15–18°C và decant từ 30 đến 60 phút trước khi thưởng thức, để bộc lộ trọn vẹn chiều sâu và sự tinh tế của một tuyệt tác vang Chile.";/wines/odfjell-aliara-fixed.jpg;red;16-18°C;14.5%;Thịt bò, thịt cừu, phô mai lâu năm;Dâu đen, gỗ sồi, gia vị, khoáng chất, da thuộc, vani, chocolate, mận, mâm xôi, dâu tây, hoa tím, thuốc lá;"[""Dâu đen"",""Gỗ sồi"",""Gia vị"",""Khoáng chất"",""Da thuộc"",""Vani"",""Sô-cô-la"",""Mận"",""Mâm xôi"",""Dâu tây"",""Hoa tím"",""Thuốc lá"",""Hoa""]";2018;Cauquenes, Lontué, Maipo Valley, Chile;2.0;8.0;6.0;5.0;;2025-12-24 07:50:33.816627+00;2025-12-24 08:45:00.260596+00
118cc9b3-9028-4ff3-95c5-3444cf89dfbf;Tempo d'Angélus 2020;Bordeaux, France;Cabernet Franc•Merlot;1,550,000₫;Tempo d'Angélus Bordeaux 2020 là chai vang đỏ được tạo nên bởi Château Angélus, điền trang danh tiếng của vùng Saint-Émilion, Bordeaux, thuộc sở hữu gia đình Boüard de Laforest từ năm 1910.;"Dưới sự dẫn dắt của Hubert de Boüard, Château Angélus đã trở thành biểu tượng của rượu vang Bordeaux hiện đại, từng đạt hạng Premier Grand Cru Classé A trước khi chủ động rút khỏi hệ thống phân hạng Saint-Émilion vào năm 2022 để giữ định hướng độc lập về chất lượng.

Được giới thiệu từ năm 2019 bởi Stéphanie de Boüard-Rivoal, với mục tiêu mang tinh thần và tay nghề của một Grand Cru đến gần hơn với người yêu vang. Đây là dòng rượu được sản xuất dưới tên gọi Bordeaux, theo phong cách tinh giản, dễ tiếp cận hơn so với Angelus, Carillon d'Angélus hay N°3 d'Angélus, nhưng vẫn giữ được chiều sâu, cấu trúc và sự tinh tế đặc trưng của nhà làm vang.

Niên vụ 2020 hưởng lợi từ mùa hè ấm áp, giúp nho chín đều và trọn vẹn. Rượu chủ yếu phối trộn từ Merlot và Cabernet Franc, lên men trong bể thép và ủ trong thùng gỗ sồi Pháp, tạo nên sự cân bằng hài hòa giữa trái cây chín, độ tươi và tannin mịn. Niên vụ này được đánh giá cao bởi James Suckling, Jeb Dunnuck, Wine Advocate và Decanter.";/wines/tempo-angelus-fixed.jpg;red;15-18°C;14.5%;Thịt bò, thịt cừu, phô mai lâu năm;Vani, chocolate, mocha, gỗ tuyết tùng, mận, dâu đen, mâm xôi, da thuộc;"[""Vani"",""Sô-cô-la"",""Mocha"",""Gỗ tuyết tùng"",""Mận"",""Dâu đen"",""Mâm xôi"",""Da thuộc""]";2020;Saint-Émilion, Bordeaux, Pháp;2.0;7.5;6.0;8.0;;2025-12-24 07:51:47.169475+00;2025-12-24 08:45:00.260596+00
